,0
2018-08-14,44.76252666543401
2018-08-21,45.45574873915793
2018-08-28,45.57641305850598
2018-09-05,45.46499519381031
2018-09-12,45.398656763048486
2018-09-19,45.45935337224117
2018-09-26,45.158211094165104
2018-10-03,45.00874415924572
2018-10-11,44.99325910585658
2018-10-18,44.60229690743329
2018-10-25,44.58291224666227
2018-11-01,44.46378530153406
2018-11-08,42.50639529233049
2018-11-16,42.539326260134466
2018-11-26,42.68119742085954
2018-12-03,42.81759215261865
2018-12-11,44.491816992981136
2018-12-18,44.50598490294619
2018-12-28,44.31442435663074
2019-01-08,43.729240783095854
2019-01-16,44.168202011069575
2019-01-24,44.39774242228453
2019-01-31,44.53697634340852
2019-02-07,44.63535992785716
2019-02-14,44.87184514110421
2019-02-25,44.783508664299035
2019-03-04,44.268115714098556
2019-03-11,44.19669640346405
2019-03-18,44.154863308420126
2019-03-25,44.62891861889402
2019-04-01,44.650198299376584
2019-04-08,44.578052254734324
2019-04-15,44.48001549235762
2019-04-23,44.5672373603637
2019-04-30,43.668422322322954
2019-05-07,43.63833036674274
2019-05-14,43.791193892697635
2019-05-21,43.68747535072711
2019-05-29,42.88192128774274
2019-06-05,41.72954310614608
2019-06-12,41.31318140896766
2019-06-19,41.41544190670402
2019-06-26,43.00171523635864
2019-07-03,43.6094965435182
2019-07-11,43.06056820442876
2019-07-18,43.511382918555306
2019-07-25,43.0127070817446
2019-08-01,43.037712570224194
2019-08-08,44.07992181420742
2019-08-15,42.90113528986324
2019-08-22,43.324633490272184
2019-08-29,43.24245984965491
2019-09-06,43.777588336859964
2019-09-13,43.01709564557121
2019-09-20,41.1923508965663
2019-09-27,41.55591364787812
2019-10-04,41.73122501571516
2019-10-11,41.54861065610461
2019-10-21,40.77144536690111
2019-10-28,40.52151087049879
2019-11-04,40.74156617256541
2019-11-12,41.125888240814106
2019-11-19,41.0664400081344
2019-11-26,40.71749563710415
2019-12-04,40.79260132654441
2019-12-11,40.4759112169648
2019-12-18,41.115619645182896
2019-12-26,41.066704806810826
2020-01-03,41.02302155134916
2020-01-10,40.31683244343078
2020-01-17,39.66790335254491
2020-01-27,39.52113853118426
2020-02-03,40.336710873303225
2020-02-10,40.31168059342979
2020-02-18,40.3265025036466
2020-02-25,40.893355443757144
2020-03-03,41.652489932519245
2020-03-10,43.41558910645052
2020-03-17,46.3931673930045
2020-03-24,45.86732392009236
2020-03-31,48.51329810773319
2020-04-07,35.13918962050466
2020-04-16,32.62750722660812
2020-04-23,22.875844968683715
2020-04-30,22.90209606893086
2020-05-07,23.17837074988774
2020-05-15,22.735475552222898
2020-05-22,21.97028103520641
2020-06-01,22.225339591743285
2020-06-08,24.382611678886803
2020-06-15,24.66371989668227
2020-06-22,24.84261028883284
